name|x|y
BLUM ANIMAL HOSPITAL|41.94053852|-87.65098057
MILAKNIS ANIMAL HOSPITAL LTD|41.98433109|-87.6896165
The Groomers Corner|41.91749661|-87.68871961
DAZZLE PET GROOMING|41.69493985|-87.68140343
DOGS AND CATS GROOMING SALON|41.96896555|-87.67151805
SOGGY  PAWS  INC|41.96731121|-87.65948778
DOGS ONLY GROOMING SALON|41.76921323|-87.61623689
The Grooming Gallery|41.89807336|-87.6769673
Scrub A Dub Dub|41.97904972|-87.66777436
TREE HOUSE ANIMAL FOUNDATION|41.9747212|-87.66039292
CHICAGO PET STORE|41.84442867|-87.70323687
Active Dog Daycare and Boarding|41.93224313|-87.6924043
VERY IMPORTANT POOCHES|41.96842799|-87.69791466
The Doggy Dojo|41.93905853|-87.72110872
Animal Care Center|41.88306257|-87.65865467
DOGMA PETCARE|41.91725831|-87.7096724
ARCHER ANIMAL HOSPITAL|41.81209529|-87.707725
ANIMAL WELFARE LEAGUE|41.78113771|-87.62387647
Dogs Life on Damen|41.98126497|-87.67971123
BEVERLY PET|41.71080448|-87.68160723
PORTAGE PK ANIMAL HOSP/DENTAL|41.95312245|-87.76288478
ACE ANIMAL HOSPITAL|41.95317259|-87.75849178
MORGAN CANINE ACADEMY|41.93888534|-87.75082751
CHICAGO PET CLINIC|41.94469463|-87.7471732
MAYFAIR ANIMAL CLINIC P C|41.95900173|-87.72711637
CRAGIN ANIMAL HOSPITAL|41.93648604|-87.74694143
CENTRAL BARK DOGGY DAY CARE|41.94249061|-87.72743364
MILWAUKEE ANIMAL HOSPITAL|41.9428322|-87.72974612
VCA MISENER-HOLLEY ANIMAL HOSPITAL|41.99797927|-87.66952582
Dilly Dally Dog Club|41.9383884|-87.69664499
BARK OUT LOUD|41.95339211|-87.75849575
FELINES & CANINES|41.99793661|-87.6718408
BROADWAY ANIMAL HOSPITAL|41.99702431|-87.66061337
PET ZONE LLC|41.96864461|-87.69828569
CHICAGO PET SITTERS LLC|41.92088447|-87.67299471
MORGAN PARK ANIMAL HOSPITAL|41.66948839|-87.64148341
ANIMAL HOUSE OF CHICAGO|41.96864461|-87.69828569
JEWELL ANIMAL HOSPITAL P.C.|41.96332379|-87.68492552
CANINE SOCIAL CLUB LLC|41.9816866|-87.68952358
PAWS & CLAWS DAY CARE INC|41.9727739|-87.68889686
ALL 4 DIRTY PAWS INC.|41.95802528|-87.74759475
7 SEAS TROPAQUARIUM|41.65330346|-87.54576881
HOLLYWOOD DOGS PROFESSIONAL CUTS|41.94585295|-87.77928926
ROCKSTAR PETS|41.9141488|-87.68463394
POM POM PALACE|41.93807644|-87.81413767
MICKEY'S PET SALON|42.01194927|-87.69998025
CLIP JOINT|41.77267339|-87.72275553
WAG YOUR TAIL|41.94536644|-87.79612765
Tres Chic Dog Grooming|41.778569|-87.73970152
RED DOOR ANIMAL SHELTER|42.00875587|-87.69065797
LINCOLN PARK DOG & CAT CLINIC|41.93042273|-87.6555127
BAB'S POODLE PARLOR|41.94585872|-87.77874355
CHICAGO VET RADIATION THERAPY CENTER LLC|41.93829711|-87.68665341
K9 4 KEEPS NFP|41.88666375|-87.67666673
PAWSITIVENERGY REHABILITATION CENTER LLC|41.93829711|-87.68665341
CHICAGO CANINE COMPANY|41.98545388|-87.73430472
PINK POODLE PALACE|41.66254968|-87.64125124
DR L MUNSAYAK|41.77860942|-87.73633539
DOG SPLASH|42.01729512|-87.69034526
TOP DOG S PUPPY STORE INC.|41.92345973|-87.79884308
JULES PET SHOP LLC|41.92099615|-87.69447235
COMPASSIONATE VETERINARY CARE OF CHICAGO|41.92198992|-87.6443015
PET A CURE INC|41.93195589|-87.70206625
PET LUV PET CENTER INC|41.74602292|-87.74110156
VICKY'S PET GROOMING SHOP|41.80961327|-87.7113077
pet grooming salon|41.93211683|-87.66369882
CHASING TAILS 4 U PET FITNESS INC.|41.88531386|-87.67042685
ACTION K-9 SECURITY INC|41.88423799|-87.69957175
WICKER PET|41.91035277|-87.67870652
Collar and Leash Inc|41.74420829|-87.71042911
URBAN CANINE INC|41.91044557|-87.68622998
BUCKTOWN BOW & MEOW PET SPA LLC|41.91777638|-87.68210047
West Side Animal Hospital|41.8946548|-87.77165482
MURGUIA ZR CHICAGO|41.93763346|-87.66844085
Blue Planet Aquarium Services|41.97746418|-87.77274574
SCALES & TALES|41.8577712|-87.65656999
PARADISE 4 PAWS MIDWAY|41.79683345|-87.73688823
BARK CHICAGO SOUTH INC.|41.88525623|-87.67213166
JOE'S PET SALON|41.85180633|-87.69434919
PUPPIES R US|41.94354549|-87.66891581
MID NORTH ANIMAL HOSPITAL|41.92224223|-87.64879388
ZEN DOGS CHICAGO INC.|41.88690215|-87.67538248
McKillip Animal Hospitals|41.93456352|-87.64614175
K9 UNIVERSITY CHICAGO INC.|41.8839822|-87.7006266
PARADISE DE AVES|41.8086527|-87.67127397
ABBOT ANIMAL HOSPITAL|41.79207533|-87.79003454
FEE FEE'S|41.77777163|-87.77048696
SOUTH WESTERN ANIMAL HOSPITAL|41.80015377|-87.6843453
DOGGONE RITE|41.7497462|-87.71763583
THREE PUPS IN A TUB|41.82727787|-87.64099923
BARKIN' BEAUTIES|41.79212005|-87.78766375
BARK SIDE OF THE MOON|41.98184935|-87.6683023
BRONZEVILLE ANIMAL CLINIC|41.83825702|-87.62176874
CITIZEN CANINE INC.|41.92311124|-87.66669639
POCKET PUPPIES BOUTIQUE INC.|41.9276916|-87.64157502
VIP POODLE SALON|41.79207239|-87.79020447
DoggieWorks|41.93683963|-87.68712003
SCOTTIES  HIGHLAND  TAILS|41.95400551|-87.65438452
LE POOCH SALON|41.90909396|-87.79796341
FAMILY PET ANIMAL HOSPITAL|41.92151028|-87.66323195
NEAR NORTH ANIMAL HOSPITAL LTD|41.90409699|-87.6343398
ANIMAL MEDICAL CENTER OF CHGO|41.93250408|-87.66916234
BANFIELD THE PET HOSPITAL|41.93014938|-87.68464689
CLARK - N - OAK ANIMAL HEALTH CENTER INC.|41.90086442|-87.63121153
HOWLISTIC GROOMING|41.86541681|-87.64701274
OLD TOWN AQUARIUM|41.91029371|-87.63483038
YOU DIRTY DOG|41.90377468|-87.63306393
GOLD COAST ANIMAL HOSPITAL P.C.|41.90372828|-87.63556801
KENIN'S PET GROOMING SHOP|41.74486766|-87.70240429
MONT CLARE ANIMAL HOSPITAL LTD|41.92369137|-87.79737653
PAWS-A-TIVELY|41.91105325|-87.63207657
METROPOLITAN VETERINARY CENTER|41.86031527|-87.62413682
K-9 LOVERS LLC|42.01230251|-87.69986265
PRETTY PAW'S|41.9239448|-87.79877077
CITY CAT DOCTOR|41.89242478|-87.63423714
INTEGRATIVE PET CARE|41.9176557|-87.69079717
PAW & CLAW CAT GROOMING|42.01179097|-87.80808243
LNP HOLDINGS LLC|41.90330816|-87.62771321
THE DOG ROOM|41.94529539|-87.81104072
DOGS DAY INN CORP.|41.92862617|-87.67152936
Pulaski Animal Hospital|41.79426938|-87.72333669
Jameson Loves Danger|41.97647506|-87.66856251
CHICAGO AQUARIUM & AQUATIC LIFE INC.|41.97358499|-87.6682591
South Loop Animal Hospital|41.85911384|-87.62410822
FURTASTIK|41.93209585|-87.66852807
THE PET DEPOT INC.|41.94752947|-87.67431567
DOGONE FUN INC|41.85843919|-87.6270639
PET PALACE GROOMING SALON CORP.|41.84759722|-87.68566255
CITY GROOMERS|41.95424087|-87.66453873
ANNE AND RUTH SEE SPOT RUN|41.88665049|-87.69620369
HEAL VETERINARY CLINIC|41.95613993|-87.69343504
VILLAGE WEST VETERINARY|41.89699066|-87.6870194
ZULU|41.95295615|-87.67775484
DIVERSEY ANIMAL HOSPITAL|41.93139771|-87.7654772
PET PARADISE GROOMING SALON|41.77857268|-87.72111172
PARADISE PET SALON & SPA TOO! INC.|41.95284795|-87.6501518
MONKEYS AND MORE EXOTIC ANIMAL RESCUE|41.80766626|-87.73113615
ROGERS PARK ANIMAL HOSPITAL|42.00572092|-87.67335591
HUG-A-PUP|41.9534814|-87.75167103
DORCHESTER ANIMAL HOSPITAL|41.75883413|-87.59074086
BURNHAM PARK ANIMAL HOSP LTD|41.86935032|-87.62732291
D'ART OF GROOMING PET SPA|42.00067467|-87.67164548
BARK PLACE|42.0100837|-87.67522251
ROGERS BARK PET SALON|42.01594338|-87.66796787
Canine Corral|41.99867043|-87.78925847
FRANK KOLODZIEJ|41.79326181|-87.72913639
LOGAN PETS GROOMING INC.|41.93000746|-87.70871114
MARIE'S PET GROOMING INC.|41.94036791|-87.70750663
CITY DOG|41.89197584|-87.61644713
JACK AND GINGER'S DOGCARE INC.|41.96846349|-87.69366059
KRISERS FEEDIN PETS FOR LIFE|41.86909622|-87.62731807
FOUND CHICAGO|41.95613993|-87.69343504
WOODLAWN ANIMAL HOSPITAL|41.77589422|-87.61537051
DELTA ANIMAL HOSPITAL|41.89575402|-87.67977171
RUB -A - DUB DOG INC|41.98648114|-87.787521
