name|x|y
LITTLE BEANS CAFE|41.92136586|-87.67292078
Kreative Kidz Academy|41.73329651|-87.55148165
GEORGES SUNSHINE PRE SCHOOL|41.99796272|-87.68263764
RESURRECTION LUTHERAN CHURCH|41.94202644|-87.65645436
VEDIC DAY CARE CENTER|41.99755968|-87.70587987
SEEDS OF JOY DAYCARE AND FITNESS CENTER|41.96652845|-87.65171856
WINNIE THE POOH PRESCHOOL|41.99167056|-87.69929326
SPROUTS ACADEMY|41.89325077|-87.63755569
LITTLE HARVARD ACADEMY|41.99056362|-87.6973648
GYMBOREE PLAY & MUSIC OF CHICAGO|41.93905939|-87.66802362
WEE CARE DAYCARE PRESCHOOL|41.93338834|-87.64150908
ABOUNDANCE OF LOVE DAY CARE|41.77793756|-87.6060219
L&L ACADEMY AND PRESCHOOL LAKEVIEW|41.93998541|-87.65639469
GAN SHALOM (TEMPLE SHOLOM) OF|41.9460984|-87.64215459
SMALL STRIDE ACADEMY|41.70583515|-87.68145602
EAST SIDE CHILD DEVELOPMENT CENTER|41.65251141|-87.54606579
LAKEVIEW DEVELOPMENT CENTER|41.96877092|-87.66878337
BELLA ANGEL MUSIC LLC|41.93810181|-87.807397
SUNNYSIDE CENTER|41.96333911|-87.67768911
ABC AND ME|41.96916138|-87.657668
IN HIS HANDS YOUTH OUTREACH|41.68906121|-87.62314789
BRAINY BOULEVARD DAYCARE|41.98312569|-87.71297692
KIDDIE KARE PRE SCHOOL|41.8122831|-87.70428565
NEAR THE PIER DEVELOPMENT CNTR|41.89234927|-87.61455717
THRESHOLDS  MOTHERS  PROJECT|41.93997637|-87.65702098
LIONS TAE KWON DO|41.84409341|-87.72834669
CHICAGO URBAN DAY SCHOOL INC|41.76877482|-87.65616135
JANETS COMMUNITY DAYCARE|41.73048782|-87.68221202
LITERACY ZONE INC.|41.78741733|-87.68370986
PICKLES PLAYROOM|41.9685283|-87.68707835
LOVING TOUCH DAYCARE PROVIDERS INC|41.91519248|-87.80582794
I HAVE A DREAM LEARNING DAY CARE CENTER|41.78257056|-87.66414891
KIDDIE GARDEN LITTLE ANGELS|41.81619537|-87.70414873
LITTLE HANDS CHILD CREATIVE CENTER INC.|41.76351103|-87.66389329
FIRE DRAGONS TAEKWONDO ACADEMY|41.82960301|-87.67870061
TAYLOR MADE KIDS|41.95043328|-87.66909505
LITTLE PEOPLE LEARNING|41.79176183|-87.59661167
UNITED EDUCATIONAL CULTURAL ACADEMY|41.70692838|-87.65390483
SOUTH - EAST ASIA CENTER|41.9716356|-87.65872254
