name|x|y
175 West Jackson Boulevard|41.87789590|-87.63333370
344 West Hubbard Street|41.89027040|-87.63725170
2634 South Pulaski Road|41.84359790|-87.72454800
5360 South Western Avenue|41.79522770|-87.68399980
3311 North Pulaski Road|41.94136830|-87.72723240
2427 West Chicago Avenue|41.89561350|-87.68858250
1550 North Kostner Avenue|41.90916690|-87.73678300
1819 North Harlem Avenue|41.91317100|-87.80577160
741 West 31st Street|41.83803130|-87.64521110
1620 West 59th Street|41.78687500|-87.66532350
3615 North Central Avenue|41.94680400|-87.76643000
105 South Wabash Avenue|41.88049860|-87.62612230
3940 West Fullerton Avenue|41.92457140|-87.72586170
101 North Clinton Street|41.88346400|-87.64088810
4800 North Damen Avenue|41.96925400|-87.67956400
2414 North Lincoln Avenue|41.91554540|-87.63505510
6315 South Pulaski Road|41.77839500|-87.72241690
3411 West Addison Street|41.94620160|-87.71332650
745 West 103 Road Street|41.62936300|-87.49896800
3343 West Montrose Avenue|41.96093430|-87.71241110
2053 North Milwaukee Avenue|41.91863390|-87.69028080
3552 West Grand Avenue|41.90209110|-87.71590920
1714 North Sheffield Avenue|41.91094080|-87.65324870
400 West Madison Street|41.88261670|-87.63937350
2815 North Western Avenue|41.93270160|-87.68750700
401 West Armitage Avenue|41.91813190|-87.63906840
1228 East 53rd Street|41.79946310|-87.59610510
7855 South Western Avenue|41.75040700|-87.68233200
8639 South Cicero Avenue|41.73518900|-87.74045800
1930 West 103rd Street|41.70678770|-87.67021500
1201 North State Street|41.90406090|-87.62847190
6510 North Sheridan Road|42.00060120|-87.66091910
1211 West Roosevelt Road|41.86670350|-87.65695730
5205 North Broadway Street|41.97647640|-87.65981120
1713 South Ashland Avenue|41.85820000|-87.66584380
2722 North Central Avenue|41.93016080|-87.76632080
641 West 63rd Street|41.77943390|-87.64146380
121 West Kinzie Street|41.88890320|-87.63175740
3101 North Clark Street|41.93823000|-87.64886800
2418 West Division Street|41.90329620|-87.68773790
845 West Wilson Avenue|41.96545220|-87.65111090
11055 South Western Avenue|41.69192160|-87.68096410
1165 North Clark Street|41.90358290|-87.63129770
2828 N. Clark Street|41.93358800|-87.64641900
137 South State Street|41.87971900|-87.62727000
208 West Washington|41.88355500|-87.63420300
8712 South Stony Island Avenue|41.73648640|-87.58581270
6200 West Higgins Avenue|41.97474570|-87.78304600
4540 North Pulaski Road|41.96351740|-87.72791000
120 South Lasalle Street|41.87986920|-87.63277400
205 N. Michigan Avenue|41.88598010|-87.62366680
3146 West Madison|41.88099590|-87.70508970
6417 West Higgins Avenue|41.97649570|-87.78851770
8025 South Ashland Avenue|41.74774400|-87.66298000
8444 South Pulaski Road|41.73963200|-87.72198300
3156 West 103rd Street|41.70624900|-87.70060520
9142 South Chicago Avenue|41.72869800|-87.55447590
130 South Canal Street|41.87964000|-87.64036800
4801 North Central Avenue|41.96788980|-87.76694200
4051 North Lincoln Avenue|41.95534770|-87.67956730
3951 West 103rd Street|41.70560600|-87.72026400
2825 West Devon Avenue|41.99753310|-87.70062070
3637 North Southport Avenue|41.94800800|-87.66365390
3944 North Western Avenue|41.95353200|-87.68881600
6150 North Broadway|41.99378410|-87.66042670
1200 North Ashland Avenue|41.90368430|-87.66788220
225 North Columbus|41.88580000|-87.61987600
6355 West Belmont|41.93831360|-87.78524390
771 North Ogden Avenue|41.89607320|-87.65455470
3033 North Broadway Street|41.93759280|-87.64414440
520 South State Street|41.87524840|-87.62793510
4777 North Milwaukee Avenue|41.96757900|-87.76004300
2545 Martin Luther King|41.84671100|-87.61721000
7858 South Halsted Street|41.75094690|-87.64466200
