name|x|y
1924 N. PAULINA|41.91696580|-87.67076080
930 W DIVISION ST|41.90389070|-87.65247500
1224 S WESTERN AVE|41.86581600|-87.68637800
4524 S WESTERN AVE|41.81140500|-87.68494300
20 E RANDOLPH ST|41.88465290|-87.62710150
5150 W 55TH ST CHICAGO|41.79370750|-87.74808180
10 E GRAND|41.89201170|-87.62753940
2900 N SHEFFIELD|41.93463150|-87.65421560
3057 N. CICERO|41.93689300|-87.74638800
7001 SO. WESTERN|41.76631500|-87.68284100
303 W. LAKE ST|41.88548080|-87.63580790
201 W MADISON ST|41.88171400|-87.63407590
523 WEST NORTH AVE|41.91078120|-87.64195310
850 N STATE ST|41.89828780|-87.62854590
4825 SOUTH PULASKI|41.80516100|-87.72311200
5313 N. SHERIDAN ROAD|41.97872300|-87.65480000
555 W. MADISON|41.88112640|-87.64183680
9214 S STONY ISLAND AVE|41.72731790|-87.58581400
5950 N WESTERN AVE|41.98970870|-87.68983780
318 S. MORGAN|41.87730870|-87.65213900
3844 N. WESTERN AVE.|41.95168800|-87.68875500
3029 NO KEDZIE|41.93656400|-87.70719900
1820 W 87TH ST|41.73601500|-87.66878100
664 E 87TH ST|41.73664670|-87.60812370
7405 S STONY ISLAND AVE|41.76034900|-87.58540100
5358 W IRVING PARK RD|41.95334410|-87.76179150
5451 N NORTHWEST HWY|41.97981510|-87.77667290
4860 N. ELSTON|41.96897790|-87.74215680
2640 S MICHIGAN AVE|41.84440440|-87.62371560
25 CHICAGO AVE|41.89448260|-87.77594260
1842 N MILWAUKEE AVE|41.91480170|-87.68471080
6801 W 95TH ST|41.71911900|-87.79009100
1810 MAPLE AVE|42.05025110|-87.68494500
6400 N SCHILLING RD|41.99581880|-87.88567970
570 W LINCOLN HWY|41.50553000|-87.66765200
1430 OLD SKOKIE VALLEY ROAD|42.17830500|-87.81906910
910 EAST CHICAGO STREET|42.03529900|-88.25632300
1203 E MAIN ST|41.91633820|-88.30232600
10625 W. ROOSEVELT STREET|33.45683060|-112.28751070
5508 SOUTH LAKE PARK|41.79478020|-87.58764910
18300 A SOUTH HALSTED|41.55698000|-87.63654200
3331 GLENWOOD LANSING RD|41.54227830|-87.53800080
