name|x|y
6150 South Laramie Avenue|41.780138|-87.751674
8535 West Higgins Road|41.985822|-87.840995
5150 West 55th Street|41.793931|-87.748141
10000 Bessie Coleman Drive|41.981548|-87.885204
225 South Canal Street|41.879186|-87.639622
6520 South Cicero Avenue|41.774127|-87.744426
5674 North Northwest Highway|41.984660|-87.785620
1561 North Fremont|41.9101582|-87.6510099
151 East Wacker Drive|41.8876953|-87.6228638
2828 North Clark Street|41.933502|-87.646416
5050 North Lincoln|41.9731251|-87.6915454
7971 South Cicero|41.747892|-87.7412588
8411 South Holland Road|41.7423311|-87.6320037
2630 North Narragansett Avenue|41.928575|-87.789554
6740 South Western Avenue|41.770676|-87.683807
2300 South Martin Luther King Drive|41.8842506|-87.6324463
939 West North Avenue|41.9105377|-87.6528854
3130 North Sheffield|41.9386339|-87.6541273
401 North State Street|41.889469|-87.6278
9240 South Stony Island|41.7264584|-87.5854848
3646 North Broadway Street|41.948582|-87.64843
2301 West Iriving Park Road|41.9537621|-87.6862183
5440 North Clark Street|41.9811897|-87.6687698
1520 West Fullerton Avenue|41.925496|-87.666417
5158 N Lincoln Avenue|41.975907|-87.692861
3046 N Halsted|41.9377594|-87.6499405
111 S Halsted Street|41.880031|-87.646892
181 West Washington Street|41.8832094|-87.6334608
909 North Michigan Avenue|41.899498|-87.623489
3658 North Clark Street|41.9485664|-87.65802
4621 West Belmont|41.938866|-87.742999
265 North Western|41.886364|-87.685923
