name|x|y
THE CLOSET|41.94264743|-87.64433254
NICK'S ON WILSON|41.96548895|-87.6591587
1000 LIQUORS / BIG CITY TAP|41.94002036|-87.65417211
BIG|41.88799989|-87.62256513
HUGO'S FROG BAR|41.90138463|-87.62796361
STREETERS TAVERN|41.89681404|-87.62627782
CIRCUIT|41.94852457|-87.64937612
GREEN MILL JAZZ CLUB|41.96913801|-87.6598213
CAROL'S PUB INC|41.96700507|-87.66695423
HOP HAUS|41.89378278|-87.63577934
PROOF|41.90216328|-87.62803535
TIMOTHY O'TOOLE'S|41.8933654|-87.62042206
NITE CAP|41.9532425|-87.75253198
FENIX LOUNGE LTD|41.93384578|-87.72718318
SABATINOS INC|41.95340286|-87.73960223
FIRESIDE PUB INC|41.98623081|-87.67454136
SIDEKICKS|41.96092773|-87.73933586
UNFORGETABLE LOUNGE|41.95370187|-87.73282036
Cafe Latin Bliss|41.98186604|-87.69283406
ST. PAULI'S BAR|41.97436947|-87.69199821
TEASER'S PUB|41.9807262|-87.80571278
BELLWETHER MEETING HOUSE & EATERY|41.89111636|-87.62006596
THE HIDDEN COVE|41.97885403|-87.69278877
RAVENS|41.92444249|-87.63993234
AS TIME GOES BY II LTD.|41.93799415|-87.81928312
SUPAROSSA|41.95837385|-87.76732076
RITCHIE'S|41.78652677|-87.69311456
BARRELHOUSE FLAT|41.92946918|-87.65460557
ALIBIS|41.99838203|-87.69005128
CRESCENDO|41.89328327|-87.63511922
ESTELLES CAFE & PUB LTD|41.9103642|-87.67813043
TAI'S|41.94736626|-87.66871998
KINGSTON MINES|41.92872348|-87.64902258
THE OWL BAR|41.92725099|-87.70420335
LAS VEGAS NITE CLUB INC|41.91736099|-87.71936114
GROUCHO'S BAR & GRILL|41.74051514|-87.72147836
Trace|41.94941728|-87.6584683
JEFFERY PUB|41.76681807|-87.57617083
NEO|41.92497231|-87.64025215
MAX BAR|41.92302562|-87.64516636
OAKWOOD '83|41.96135532|-87.67830516
