name|x|y
ROTHSCHILD LIQUORS|41.73651415|-87.60656169
IN FINE SPIRITS|41.98041138|-87.66847042
MORANDS LIQUORS|41.70218656|-87.68163354
BROADWAY WINE & LIQUORS|41.93937481|-87.64452487
FAIR DISCOUNT INC|41.78030156|-87.60586225
1000 LIQUORS / BIG CITY TAP|41.94002036|-87.65417211
J J PEPPERS FOOD STORE|41.96913564|-87.65497012
FINE FOOD & LIQUOR INC.|41.94826801|-87.66904182
APPLE BITE MART|41.93555816|-87.64410158
7-ELEVEN|41.98337676|-87.71391166
DIALA GROCERY|41.97594531|-87.67780865
SUPER SAVINGS FOOD|41.9390586|-87.73803625
BRUNO'S LOUNGE|42.00188611|-87.66090427
ASHLAND LIQUOR AND FOOD|41.72132699|-87.66253366
MARKET IN THE PARK|41.80287978|-87.58184369
PJ'S PANTRY|41.95377406|-87.64806068
SNAX|41.87279887|-87.62433781
7 ELEVEN #33843|41.9569985|-87.66403716
DI CARLO'S ARMANETTI LIQUORS|41.89114238|-87.68655928
GEE JAYS|41.73696532|-87.72165212
7-ELEVEN|41.97621692|-87.6741382
TOWN LIQUOR/ARMANETTI|41.71177449|-87.68192831
A & G LIQUORS|41.76783128|-87.62476594
FOSTER FOOD & LIQUOR|41.97618401|-87.67648413
CITY GROCERY|41.88946533|-87.62650927
LA PRIMERA|41.97290417|-87.668133
3600 COMMISSARY|41.94868367|-87.64364976
DIA FOOD & LIQUOR|41.6849558|-87.65972583
LAKE POINT MARKET|41.89127929|-87.61410753
MIDWAY FOOD & LIQUORS NO. 2|41.77338069|-87.59256121
ANDERSONVILLE WINE & SPIRITS|41.97624222|-87.66827341
MR G'S FOOD & LIQUOR|41.78942986|-87.61784034
THE GODDESS RIVER NORTH|41.89875669|-87.64287887
Lake Shore Groceries|41.89928099|-87.61889451
BIG SAM'S FOOD & LIQUOR INC.|41.76864452|-87.66536128
7- ELEVEN|41.89267922|-87.61786371
CERMAK PRODUCE|41.79799187|-87.72344374
PRESTIGE LIQUORS|41.7644956|-87.68338427
CHIPS FOOD & LIQUOR MART|41.79342196|-87.71587465
JOHNNY'S FOODS|41.76325894|-87.66388689
TAMPICO CLUB INC|41.82435631|-87.70459365
TOWN FOOD & LIQUOR|41.77926508|-87.66967833
7-ELEVEN|41.79300803|-87.73264552
D & A FOOD & LIQUOR|41.79355436|-87.66463755
KING FOOD & LIQUOR|41.77024338|-87.68324824
GOLD MEDAL LIQUORS|41.95191698|-87.64948079
POTASH GOURMET 44|41.8991174|-87.62295567
RUDY'S FOOD & LIQUOR|41.7686623|-87.66384165
FOX & OBEL|41.89094362|-87.61754059
RICHWELL MARKET|41.85665718|-87.63875335
HANI LIQUOR STATION|41.80096182|-87.68917766
PEREZ INC|41.81837705|-87.69702214
NEW YORK MARKET|41.95017256|-87.64454816
SHARIF'S FOOD & LIQUORS INC.|41.78520789|-87.65479263
RAINBOW FINER FOOD & LIQUOR|41.77892241|-87.66435268
7-ELEVEN #33725|41.8924518|-87.62256645
J.J. PEPPERS FOOD STORE #20|41.89645531|-87.62564517
J.M. CHATEAU'S|41.80800816|-87.72137542
FLICKINGER FINE WINE|41.85997721|-87.63794617
RAINBOW X O|41.76485938|-87.66394018
M & M FOOD|41.78663168|-87.66470235
MARQUETTE SUPREME|41.77196606|-87.67377178
EXTRA VALUE FOOD & LIQUOR|41.77961467|-87.66407749
APPLE PANTRY|41.92377233|-87.77228359
SKIP'S FOOD AND LIQUOR|41.79306663|-87.67412143
SEVEN NINE ELEVEN FOOD MART INC.|41.80462115|-87.71990707
HONG KONG MARKET|41.84823717|-87.64095553
GROVE LIQUORS|41.77328619|-87.6059191
GEORGE'S LIQUOR & DELI|41.96887204|-87.67871953
7 ELEVEN #33726A|41.87788147|-87.64375104
JARDAN FOOD & LIQUOR|41.79432493|-87.61852061
GEORGE'S LIQUOR & FOOD|41.72136414|-87.65941509
SHERIDAN PARK FOOD & LIQUOR|41.96522681|-87.66180291
67TH ONE STOP FOOD & LIQUOR INC.|41.77342282|-87.58833687
MAPLE PARK WINES & SPIRITS|41.68494602|-87.64414435
LAKEVIEW FOOD PANTRY|41.95265583|-87.64923676
HOMEWOOD SUITES HOTEL|41.89179678|-87.62649274
24/7 EXPRESS MART INC.|41.80122901|-87.66462761
ADDISON FOOD & LIQUOR INC|41.94548695|-87.77663733
FOREMOST LIQUORS|41.93916408|-87.7470229
DEVON MARKET|41.99822825|-87.66710447
7-ELEVEN #33526|41.94590506|-87.74690752
BRISTOL LIQUORS INC|41.93858696|-87.7570379
