name|x|y
THE LANGHAM CHICAGO|41.88793874|-87.62703564
INDIRA SALON SPA|41.94444283|-87.66379825
RIVER NORTH MASSAGE THERAPY CENTER|41.89600252|-87.63255123
MARIETTA'S DAY SPA & SALON|41.87767514|-87.63970129
ZEN SPA|41.92533349|-87.66937054
EQUINOX MONROE STREET INC.|41.88076896|-87.63387497
FITNESS FORMULA CLUBS - HALSTED STREET|41.94085534|-87.64944159
OLGA'S DAY SPA. LLC|41.88617728|-87.6155996
MASSAGE ENVY WEST LOOP|41.88059546|-87.64777482
DQ LUXURY REFLEXOLOGY MASSAGE RELAXATION RETREAT|41.87025039|-87.62427758
RED DOOR SALON & SPA|41.89990012|-87.62400692
REHYDRATE WATER BAR & CAFE|41.944317|-87.74716146
LUXE SPA|41.9000879|-87.62591428
INTERCONTINENTAL HOTEL CHICAGO|41.89112059|-87.6239887
RENEW SPA|41.90080165|-87.62427247
ELIZABETH ADAM SALON/DAY SPA|41.89807992|-87.62394571
Swissotel Chicago|41.88755604|-87.61965509
HILTON CHICAGO MAGNIFICIENT MILE SUITES|41.89935174|-87.62198691
RENEE DAY SPA INC|41.89391861|-87.62408583
JAMES HOTEL CHICAGO|41.89319672|-87.62591385
Fitness Formula Clubs - Union Station|41.87815538|-87.63949996
YOGA BOUTIQUE LLC|41.95449396|-87.64724433
BODYWISE SKIN CARE & MASSAGE INC.|41.90218093|-87.66731702
THE FOUR SEASONS HOTEL CHICAGO|41.8993041|-87.62523649
RITZ- CARLTON WATER TOWER|41.89770258|-87.62346196
HAIR BASE FULL SERVICE CENTER|41.99716193|-87.72023475
HALSTED SPA|41.84510489|-87.6462985
MASSAGE ENVY SPA|41.93260888|-87.64906775
YUNG PING CORP.|41.85239017|-87.63606682
HQ SPA|41.84074814|-87.65954691
ARIES MASSAGE|41.9360821|-87.72724452
HM DAY SPA|41.8816125|-87.650454
PENINSULA CHICAGOLLC|41.89583964|-87.62498814
HALSTED STREET BEACH TANNING SALON|41.95035144|-87.64943944
SALON ECHO|41.9837425|-87.65948529
MASSAGE MASTERS P.C.|41.8765621|-87.63353977
MR. 312 INC|41.88584075|-87.63335636
OCEAN MASSAGE|41.90869425|-87.68732608
Indira Salon Spa|41.8938248|-87.63845324
XPRESSPA CHICAGO O'HARE LLC|42.0085364|-87.91442844
HEALING HANDS MASSAGE|41.91050602|-87.66869135
ANNA GEORGE LTD|41.88656737|-87.62438467
CHANNING'S DAY SPA|41.90088902|-87.62636425
GROS INC.|41.96836188|-87.70651573
GALTER LIFE CENTER|41.97565588|-87.7012023
BLOOM YOGA STUDIO LLC|41.96669264|-87.69359985
ENLIVEN MASSAGE WORKS|41.89627149|-87.64879463
EQUINOX GOLD COAST|41.8992486|-87.62427498
ARCH ANGEL|41.90066642|-87.62653059
DITA DAY SPA|41.90008484|-87.62610823
CHOCOLATE FOR YOUR BODY CHICAGO INC.|41.85785445|-87.64649616
TRIBE S.C.|41.93950947|-87.67445474
RENAISSANCE CHICAGO HOTEL|41.88670423|-87.62805356
PAVILION SALON & SPA|41.97830715|-87.84631558
