name|x|y
617 W DIVERSEY PKWY 1ST|41.93270228|-87.64432682
1000-1002 W DIVERSEY PKWY  C102|41.93274653|-87.65392873
17 E MONROE ST 1|41.88066458|-87.62708936
400 W MADISON ST  TWO N|41.88200786|-87.6382454
200 S MICHIGAN AVE |41.87948933|-87.62449812
1003-1005 N RUSH ST 1-2|41.90088671|-87.62741623
225 N MICHIGAN AVE  42 IL|41.88637741|-87.62438167
600 N STATE ST 1|41.89250117|-87.62824274
227 W MONROE ST  AT&T|41.88053925|-87.63459246
2200 N HALSTED ST  1ST|41.92190548|-87.64878198
2063 N CLARK ST 1ST|41.92014839|-87.6370247
111 W WASHINGTON ST 1ST|41.88310096|-87.63126322
150 N WACKER DR 1ST|41.88452546|-87.63721639
105 W ADAMS ST 1ST|41.87930273|-87.63100222
1500 E 53RD ST 1ST|41.79965378|-87.58904895
401 E ONTARIO ST  1ST|41.8933413|-87.61758915
3358 N BROADWAY  1ST|41.94355499|-87.64511919
231 S LA SALLE ST  CONTI|41.87854293|-87.63212058
222 W MERCHANDISE MART PLZ 1ST|41.88807428|-87.6349552
35 E WACKER DR 1ST|41.88683151|-87.62655608
1001 W ARMITAGE AVE 1ST|41.9179944|-87.65341562
39 W DIVISION ST 1ST|41.90381264|-87.6300569
10 S RIVERSIDE PLZ  130|41.88166429|-87.63888744
828 N STATE ST  1ST|41.89754225|-87.62836994
1023  -01025 W ADDISON ST  1ST|41.94711896|-87.65530245
444 N MICHIGAN AVE  1ST|41.89071448|-87.62426987
66 W WASHINGTON ST  PEDWA|41.88332003|-87.63030327
3184 N CLARK ST  1ST|41.9398567|-87.65077339
40 W LAKE ST 1ST|41.885856|-87.62942174
55 E JACKSON BLVD 1ST|41.87814786|-87.62557273
4159 W PETERSON AVE 1ST|41.98996424|-87.73351986
70 W MADISON ST 1ST|41.88209301|-87.63041269
202 N MICHIGAN AVE  1ST|41.885849|-87.62466255
555 S DEARBORN ST  1ST|41.87466288|-87.62906529
3350 N LINCOLN AVE  1ST|41.9430472|-87.67118089
430 N CLARK ST  1ST|41.89005827|-87.63122989
209 W JACKSON BLVD  1ST|41.87800606|-87.63402203
68 E MADISON ST  1ST|41.88220547|-87.62538377
200 W ADAMS ST  1ST|41.87949547|-87.63382966
200 E RANDOLPH ST  MAIN|41.88463208|-87.62224799
3359 N SOUTHPORT AVE  MAIN|41.94337466|-87.66376912
2200 N CLYBOURN AVE  MAIN|41.92158137|-87.66456513
5300 N CLARK ST  MAIN|41.97806628|-87.66849575
11601 W TOUHY AVE  TERMI|42.0085364|-87.91442844
1001 W NORTH AVE  E|41.91072929|-87.65315262
106 W GERMANIA PL  MAIN|41.91048587|-87.63191766
2023  -2025 W ROSCOE ST  MAIN|41.94309688|-87.679429
161 N CLARK ST  170|41.8847797|-87.63080067
1602 N WELLS ST 1 1|41.91125521|-87.63486073
180 N LA SALLE ST |41.88544439|-87.63258213
257 E HURON ST  1C021|41.89490582|-87.62052045
11601 W TOUHY AVE  T-3|42.0085364|-87.91442844
4600 N MAGNOLIA AVE  MAIN|41.96543519|-87.66117219
4553 -4557 N LINCOLN AVE  1ST|41.96462292|-87.68577072
130 S CANAL ST  1|41.87961627|-87.63976452
750 N FRANKLIN ST  1|41.89631759|-87.63584025
11601 W TOUHY AVE  T3- B|42.0085364|-87.91442844
1229 N CLYBOURN AVE  1|41.90447254|-87.64033362
11601 W TOUHY AVE  TERM|42.0085364|-87.91442844
11601 W TOUHY AVE  TERM.|42.0085364|-87.91442844
100 S WACKER DR  MAIN|41.88055703|-87.63713178
11601 W TOUHY AVE  G CON|42.0085364|-87.91442844
303 W MADISON ST 1ST|41.88182249|-87.63543657
233 S WACKER DR |41.87856015|-87.63652387
5700 S MARYLAND AVE 1ST|41.79126062|-87.60508491
6738 N SHERIDAN RD |42.0047157|-87.66100296
1052-1070 W BRYN MAWR AVE |41.98378038|-87.65731095
1588 N MILWAUKEE AVE |41.91027801|-87.67751595
5400 W DEVON AVE |41.99743743|-87.7638592
1900 W MONTROSE AVE |41.96160382|-87.67607883
1430 W TAYLOR ST |41.86943095|-87.66281807
11601 W TOUHY AVE |42.0085364|-87.91442844
2543 N CALIFORNIA AVE |41.92789617|-87.6973568
414 N ORLEANS ST |41.88968296|-87.63712096
1157 W WRIGHTWOOD AVE |41.92881692|-87.65837884
111 E CHESTNUT ST |41.89826162|-87.62516469
3045 N GREENVIEW AVE |41.93751375|-87.6660191
2275 N LINCOLN AVE |41.92361621|-87.64599112
1700 W DIVERSEY PKWY |41.93248247|-87.67089013
25 E WASHINGTON ST |41.88310908|-87.62697603
550 W VAN BUREN ST |41.87685514|-87.64154407
31 E ROOSEVELT RD |41.8673211|-87.62595399
4015 N LINCOLN AVE  C-1|41.95485438|-87.67907596
4753 N BROADWAY  |41.96872371|-87.65941409
1001 W MADISON ST  A|41.88158931|-87.65208623
175 W JACKSON BLVD  TAX|41.87801449|-87.63318903
6075 N LINCOLN AVE |41.9923449|-87.7103231
311 S WACKER DR |41.87779165|-87.63652434
10210 S CENTRAL PARK AVE 1ST|41.70748086|-87.71131771
40 N CLINTON ST |41.88310807|-87.64137748
7112 W NORTH AVE |41.90904012|-87.80262196
4558 N KEDZIE AVE |41.96461176|-87.70849944
42 E CHICAGO AVE |41.89680864|-87.62661991
10 S DEARBORN ST 1ST|41.88180696|-87.62954312
520 N OGDEN AVE |41.89176978|-87.65860461
2529 N CLARK ST |41.92865173|-87.64214187
131 S DEARBORN ST  1850|41.87988544|-87.62921159
39 S LA SALLE ST |41.88093156|-87.63218913
1933 W 103RD ST |41.70645424|-87.67053217
1243-1245 W FULLERTON AVE |41.92515701|-87.66011197
150 E RANDOLPH ST |41.88462845|-87.6226127
38 E ONTARIO ST 1ST|41.8934041|-87.62669682
1101 S CANAL ST  100|41.86888971|-87.63909893
600 W LAKE ST |41.88581472|-87.64284713
4830 N PULASKI RD  100|41.96911603|-87.72820128
2357 W HOWARD ST 1ST|42.01942097|-87.69002508
300 E RANDOLPH ST PEDWAY|41.88462378|-87.62047604
3232 W FOSTER AVE 1ST|41.97584077|-87.71003835
2577 N ELSTON AVE |41.928488|-87.68223245
200 W MADISON ST |41.88205499|-87.6338999
1 E DELAWARE PL |41.89903098|-87.62819227
30 W ERIE ST |41.89416541|-87.62938903
946 W RANDOLPH ST 1|41.88444504|-87.65161225
116 S HALSTED ST |41.87994232|-87.64745274
2101 W ARMITAGE AVE |41.91759366|-87.68021179
1730 W FULLERTON AVE 1 1|41.92521233|-87.67192543
8 N MICHIGAN AVE 1 1|41.88228818|-87.62451779
3506 S STATE ST 1 1|41.83078218|-87.62679018
4701 S CICERO AVE 1 1|41.80753346|-87.74300342
7101 S STONY ISLAND AVE 1 1|41.76593686|-87.58577242
1174 E 55TH ST  1|41.79517545|-87.59660148
6451 W DIVERSEY AVE 1 1|41.93085132|-87.78775565
160 W 87TH ST 1 1|41.73633471|-87.62864522
1599 N CLYBOURN AVE 1 1|41.91093474|-87.64933701
171 W RANDOLPH ST 1 1|41.88436188|-87.63316454
3400 N SOUTHPORT AVE 1 1|41.94346157|-87.66406559
6108 N WESTERN AVE 1 1|41.99258749|-87.68986215
633 N ST CLAIR ST |41.89347536|-87.62257467
