name|x|y
11840 S Marshfield Ave|41.67863250|-87.66251390
6525 W Diversey Ave|41.92998690|-87.78913800
1200 N Larrabee St|41.90421950|-87.64396520
1940 W 33rd St|41.83552200|-87.67353700
2939 W Addison St|41.94666010|-87.70143160
2656 N Elston Ave|41.92876600|-87.68465900
2112 W Peterson Ave|41.99138700|-87.68290700
1154 S Clark St|41.86839300|-87.63115000
8560 S Cottage Grove Ave|41.73888400|-87.60676400
4433 S Pulaski Rd|41.81271650|-87.72367300
1 S State St|41.88188400|-87.62747800
1101 W Jackson Blvd|41.87759040|-87.65495310
4466 N Broadway St|41.96313050|-87.65635200
