name|x|y
VAUGHAN'S PUB|41.93500236|-87.65379237
THE CLOSET|41.94264743|-87.64433254
O'BRIEN'S PUB|41.69457793|-87.68139221
GREEN MILL JAZZ CLUB|41.96913801|-87.6598213
KEEGAN'S PUB|41.70030165|-87.68157331
KOZY KORNER|41.78017105|-87.61326282
1000 LIQUORS / BIG CITY TAP|41.94002036|-87.65417211
HARRITY'S SPORTS BAR & GRILL|41.93814777|-87.76633681
WILL'S NORTHWOODS INN|41.93720667|-87.65902155
HIGGINS TAVERN|41.94161682|-87.65887368
HOLLYWOOD LIQUORS|41.98292863|-87.71136013
BIG JOE'S 2 & 6|41.97619817|-87.67548842
SUNSET CAFFE|41.98581391|-87.68966419
FARRAGUTS|41.97744828|-87.66852007
PEARL TAVERN|41.88524323|-87.63716479
WRONGS|41.71144202|-87.68191864
JACK'S PLACE|41.85771694|-87.64273268
DRAM SHOP LTD|41.93759551|-87.64446517
CASEY'S CORNER|41.99746954|-87.69848682
KELSEY'S|41.92340516|-87.64569664
LINCOLN TAP ROOM|41.93632822|-87.66420173
MONASTERO'S RISTORANTE|41.99713415|-87.72766362
OLLIES|41.97829159|-87.65764128
THE NEW SOME PLACE ELSE LOUNGE|41.69263709|-87.66171111
PROGRESS BAR|41.94357316|-87.64922664
CARAVAN|41.96935748|-87.65982657
JP BURKE'S PATIO & TAP|41.93475838|-87.66157417
MR'S O'LEARY'S DUBLINER|41.69512056|-87.68140865
PITCHFORK FOOD & SALOON|41.95406688|-87.70175255
NISEI LOUNGE|41.94470868|-87.65410591
SCARLET BAR|41.94247093|-87.64949678
THE SOFO TAP|41.97245587|-87.66775631
UNDERGROUND LOUNGE|41.94456875|-87.65392432
The Bar on Buena|41.9585509|-87.65352005
MCNALLY'S|41.690623|-87.68126668
THE LONG ROOM|41.95439275|-87.66958709
GALLERY BAR|41.89600475|-87.63138052
K'S DUGOUT|41.97616563|-87.67772952
SUITE LOUNGE|41.90892604|-87.63478763
ATMOSPHERE|41.97966731|-87.66812847
THE FALCON|41.79946966|-87.58633099
YAKZIE'S BAR & GRILL|41.94930115|-87.65837529
BIG CHICKS INC.|41.97406912|-87.65509449
SIMON'S TAVERN|41.97653385|-87.66855988
FIRST BASE INC|41.83623087|-87.63877866
BRUNO'S LOUNGE|42.00188611|-87.66090427
STAR OF SIAM|41.89076289|-87.62754901
BOSTON'S TAVERN|41.84532261|-87.63865692
FLAMINGO COCKTAIL LOUNGE|41.77362364|-87.60593143
Snuggery Saloon & Dining Room|41.87853128|-87.63942746
ROCKY'S|41.8383285|-87.63303202
ANDYS 11 EAST LOUNGE|41.88996387|-87.62750692
SARENKA INC|41.81176078|-87.69813297
JOHN AND SOPHIE'S LOUNGE|41.80111899|-87.69272047
MICHAEL'S SPORTS LOUNGE|41.81159873|-87.70806972
BLUE SKY RESTAURANT|41.80577977|-87.72337496
FOUNTAIN BLUE|41.81755841|-87.68730852
CHICAGO SPORTS BAR & GRILL INC.|41.80764925|-87.73242906
KORONA LOUNGE INC|41.80750255|-87.72372116
LIZZIE MC NEILLS|41.88911847|-87.61775488
SIERRA VISTA LOUNGE|41.80830923|-87.69915681
FENIKS CLUB|41.92419879|-87.75759539
CHICAGO SOUTH LOOP HOTEL LLC|41.84546816|-87.62745299
BASIA'S PLACE|41.80151119|-87.72529741
SUNSET INNINC|41.79800597|-87.74275693
ASTRA CORP|41.81388559|-87.69055492
THE SHRINE - COUP D'ETAT|41.85395238|-87.62537587
RAW BAR & GRILL|41.94959069|-87.65860702
STUDIO 51|41.80120545|-87.68775219
SECOND STORY BAR|41.89244202|-87.62314748
WATRA|41.80612822|-87.72367909
LUCKY'S TAP|41.82018685|-87.69453101
WHISKEY SKY|41.89387135|-87.61527478
THE CORRIB IRISH PUB|41.98153759|-87.7622192
CATTLE CALL|41.98337544|-87.66924781
KEENAN O'REILLY'S PUB|41.95299261|-87.66915912
CAROL'S PUB INC|41.96700507|-87.66695423
THE JOHNS DEN INC.|41.70543467|-87.6817378
JOIE DE VINE|41.97986594|-87.67390933
DINGERS|41.69973489|-87.68155515
SLACKERS TAP|41.67759689|-87.68085884
BLACK CAT LOUNGE|41.68489909|-87.66335207
INFLATION LOUNGE|41.78020123|-87.61164526
COLUMBIA YACHT CLUB|41.88306562|-87.61545613
STREETERS TAVERN|41.89681404|-87.62627782
CULLINAN'S STADIUM CLUB|41.68234369|-87.68100795
ROUTE 43 BAR INC.|41.815754|-87.66585278
THE PUMPING CO INC|41.9939727|-87.66024238
FAST ENTERTAINMENT INC|41.93923957|-87.73718864
DI'S DEN|41.95343829|-87.75475433
FOREMOST LIQUORS|41.93916408|-87.7470229
Parlour On Clark|41.99750755|-87.67028703
FRITZY'S TAVERN|41.99433122|-87.67029442
HANGOVERS|41.94533114|-87.72751675
STRIKERS CORNER|41.9596294|-87.72802874
CLUB E|41.95312399|-87.7627319
THE WESTIN MICHIGAN AVENUE|41.89953903|-87.623989
CUNNEEN'S PUB|41.99823338|-87.66660157
3123 CLUB|41.93769663|-87.7466965
J. L. LOUNGE|41.94257857|-87.74711431
HOCK SHOP|41.96017047|-87.72838122
FENIX LOUNGE LTD|41.93384578|-87.72718318
MEMORIES PUB|41.99726273|-87.67022232
MOODY'S RESTAURANT INC|41.9893336|-87.66039461
BAR & MARISCOS  EL ALTENO |41.9388179|-87.73955587
SLUGGERS|41.94657696|-87.65618754
MITCHELL LOUNGE|41.76832753|-87.67389581
MAS O MENOS LOUNGE|41.90286771|-87.69109787
SOVEREIGN LIQUORS|41.99469632|-87.66055707
GRANVILLE EL STATION INC|41.99444821|-87.65985565
MARIA'S TAP|41.93853015|-87.76139425
BODI|41.89869627|-87.63710466
Double Bubble|41.99191242|-87.66047397
BIG TEDDY BEAR INS|41.94501708|-87.72721297
FIRESIDE PUB INC|41.98623081|-87.67454136
THE NORSE BAR|41.99737346|-87.67054893
GRAYLAND PUB|41.94858021|-87.7396441
UNFORGETABLE LOUNGE|41.95370187|-87.73282036
ESTRELLA BLANCA NIGHT CLUB|41.93666807|-87.7466546
TED'S & MIKE'S LIQUOR INC|41.9458797|-87.75787931
BELFORD TAVERN INC|41.93913815|-87.72733371
NITE CAP|41.9532425|-87.75253198
PADDY MAC'S|41.95715498|-87.72757202
LUTNIA RESTAURANT|41.93869782|-87.76541114
BIM BOM|41.93879611|-87.75780206
LIVEWIRE|41.94294083|-87.73039367
BRUDDER'S|41.94641594|-87.72754949
PHOENIX|41.96066903|-87.74767761
MARIA'S PACKAGED GOODS & COMMUNITY BAR|41.83809105|-87.65111735
EXCALIBUR CLUB|41.69264879|-87.61137737
ABBEY PUB|41.95031209|-87.7137859
COVE LOUNGE|41.79535815|-87.58198429
MAGNOLIA SPORTS BAR|41.67181818|-87.64156137
BOBBIE'S RUNAWAY|41.97803478|-87.67931763
SUPERIOR CLUB INC.|41.67590207|-87.64169805
THE HIDDEN COVE|41.97885403|-87.69278877
WALLY'S LOUNGE|41.93925007|-87.7034147
LEADWAY LIQUORS & CAFE|41.976989|-87.67928387
SUNNY SIDE TAP|41.96168558|-87.68884027
THE CLADDAGH RING PUB INC|41.97603265|-87.68703171
TOMMY'S ON HIGGINS|41.98016396|-87.80207994
Har-Hig Liquors Inc.|41.98117283|-87.80670113
HUETTEN BAR|41.96720314|-87.68748291
SCOT'S|41.96139|-87.6756702
PROOF|41.90216328|-87.62803535
TEASER'S PUB|41.9807262|-87.80571278
LOAFERS|41.96868081|-87.69386103
The Grafton Pub & Grill|41.96395323|-87.68566333
CARDINAL WINE & SPIRITS|41.97100172|-87.68990553
ST. PAULI'S BAR|41.97436947|-87.69199821
ERNIE'S TAP|41.98084226|-87.80519641
LAWREL LIQUORS|41.96799336|-87.74072635
SPYNERS PUB|41.96563194|-87.68866466
TIME OUT SPORTS BAR|41.96604802|-87.69358195
