name|x|y
151 N STATE ST|41.88479460|-87.62748320
300 N MICHIGAN AVE|41.88705300|-87.62502000
191 N CLARK ST|41.88558410|-87.63080070
30 N MICHIGAN AVE|41.88295710|-87.62479390
15 W WASHINGTON ST|41.88305800|-87.62858410
16 W ADAMS ST|41.87959730|-87.62846920
79 W MONROE ST|41.88055650|-87.63052640
2 E ROOSEVELT RD|41.86760430|-87.62707670
240 W RANDOLPH ST|41.88468500|-87.63509100
250 S WACKER DR|41.87858880|-87.63710000
201 W MADISON ST|41.88171400|-87.63407590
200 W ADAMS ST|41.87968750|-87.63434260
501 W ROOSEVELT RD|41.86656960|-87.63962240
3000 S HALSTED ST|41.83874600|-87.64666600
1931 W CERMAK RD|41.85194090|-87.67418000
1926 W 35TH ST|41.83050120|-87.67364070
4710 S WESTERN AVE|41.80802200|-87.68483100
5147 S ASHLAND AVE|41.79996100|-87.66435000
3798 S WESTERN AVE|41.82534600|-87.68535100
4700 S HALSTED ST|41.80873200|-87.64588500
5401 S WENTWORTH AVE|41.79523040|-87.62911250
1614 W 47TH ST|41.80898200|-87.66583700
933 N STATE ST|41.90005010|-87.62816480
1200 N DEARBORN ST|41.90414700|-87.63042600
711 W North Avenue|41.89682190|-87.61725020
680 N LAKE SHORE DR|41.89464030|-87.61594060
342 E ILLINOIS ST|41.89116890|-87.61832000
430 N MICHIGAN AVE|41.89028790|-87.62484610
251 E HURON STREET|41.89250850|-87.61616960
757 N MICHIGAN AVE|41.88686970|-87.62891200
2340 W MADISON ST|41.88140210|-87.68517520
953 W IRVING PARK RD|41.95449250|-87.65370370
3646 N BROADWAY ST|41.94872090|-87.64823000
4025 N SHERIDAN RD|41.95520940|-87.65440680
740 W DIVERSEY PKWY|41.93274810|-87.64791500
1520 W FULLERTON AVE|41.92546380|-87.66641580
1601 N WELLS ST|41.91137520|-87.63434290
2317 N CLARK ST|41.92437120|-87.63926740
1554 E 55TH ST|41.79523720|-87.58860890
5036 S COTTAGE GROVE AVE|41.80294600|-87.60643360
316 W CERMAK RD|41.85330900|-87.63561600
3405 S KING DR|41.83333900|-87.61657800
11801 S AVENUE O|41.68058200|-87.53930000
3611 E 106TH ST|41.70246900|-87.53599100
1616 E 87TH ST|41.73702790|-87.58435160
2011 E 95TH ST|41.72245520|-87.57453270
2924 E 92ND ST|41.72814090|-87.55192830
3153 W IRVING PARK RD|41.95382800|-87.70736040
3358 N WESTERN AVE|41.94255170|-87.68967860
4343 N KEDZIE AVE|41.96055100|-87.70786200
3222 N MILWAUKEE AVE|41.93943400|-87.72508500
3424 W BELMONT AVE|41.93937120|-87.71320930
2301 W IRVING PARK RD|41.95390190|-87.68643470
11 E 75TH ST|41.75720500|-87.62425700
8628 S COTTAGE GROVE AVE|41.73794100|-87.60555300
347 E 95TH ST|41.72157650|-87.61469470
7901 S WESTERN AVE|41.74906860|-87.68241920
8636 S ASHLAND AVE|41.73644430|-87.66315940
9434 S HALSTED ST|41.72208750|-87.64341740
1213 W 79TH ST|41.75038940|-87.65437640
650 W 63RD ST|41.78022600|-87.64165700
1372 N MILWAUKEE AVE|41.90673110|-87.67178380
1650 W CHICAGO AVE|41.89630780|-87.66923430
4005 W 26TH ST|41.84422930|-87.72496010
3303 W 26TH ST|41.84446240|-87.70755920
3045 W 26TH ST|41.84455590|-87.70171390
3800 W. MADISON ST|41.88106100|-87.72114500
3401 W ROOSEVELT RD|41.86598600|-87.71078900
5158 N LINCOLN AVE|41.97570000|-87.69281300
4801 N LINCOLN AVE|41.96887790|-87.68816200
7410 N CLARK ST|42.01642880|-87.67556640
11040 S MICHIGAN AVE|41.69319200|-87.62135700
10620 S HALSTED ST|41.70113440|-87.64281090
10300 S MICHIGAN AVE|41.70698700|-87.62058600
6315 S KEDZIE AVE|41.77837790|-87.70276300
7045 S PULASKI RD|41.76486400|-87.72201600
4000 W 59TH ST|41.78602000|-87.72316340
4010 W LAWRENCE AVE|41.96834110|-87.72859420
5230 N MILWAUKEE AVE|41.97531290|-87.76743760
5753 N CANFIELD AVE|41.98462330|-87.82315400
7652 W TOUHY AVE|42.01152170|-87.81839770
5435 S KEDZIE AVE|41.79402370|-87.70344770
3943 W 47TH ST|41.80762100|-87.72267200
4385 S ARCHER AVE|41.81348100|-87.70461700
6809 W BELMONT AVE|41.93801670|-87.79647600
5935 W ADDISON ST|41.94552400|-87.77546900
5650 W BELMONT AVE|41.93869120|-87.76744100
4343 N CENTRAL AVE|41.96005530|-87.76709770
7111 S WESTERN AVE|41.76426600|-87.68279690
6330 S KING DR|41.77931480|-87.61563340
1533 E 67TH ST|41.77306000|-87.58791100
5414 S ARCHER AVE|41.79887600|-87.74368000
7150 W ARCHER AVE|41.79200760|-87.80059180
5874 S ARCHER AVE|41.79598540|-87.76167050
6016 W 63RD ST|41.77810300|-87.77224090
5600 W FULLERTON AVE|41.92443910|-87.76677890
4817 W FULLERTON AVE|41.92406080|-87.74705330
1627 N PULASKI RD|41.91088270|-87.72623320
4225 W ARMITAGE AVE|41.91698470|-87.73232930
1606 N MOBILE AVE|41.90965720|-87.78358720
4748 W NORTH AVE|41.90989560|-87.73772790
5140 W DIVERSEY AVE|41.93143620|-87.75568300
1500 W WILSON AVE|41.96556700|-87.66794200
4720 N MARINE DR|41.96800360|-87.64932750
5440 N CLARK ST|41.98119000|-87.66877300
4040 N CICERO AVE|41.95471100|-87.74773900
4001 W IRVING PARK RD|41.95351530|-87.72801600
4745 W BELMONT AVE|41.93883270|-87.74595830
833 W 115TH ST|41.68476600|-87.64423800
1633 W 95TH ST|41.72067500|-87.66334200
11833 S WESTERN AVE|41.67781900|-87.68019800
2345 W 103RD ST|41.70627510|-87.68099930
5222 W MADISON ST|41.88070800|-87.75570300
7510 N WESTERN AVE|42.01803220|-87.69069200
6310 N NAGLE AVE|41.99592830|-87.78750990
1601 N MILWAUKEE AVE|41.91084400|-87.67777200
2744 N CALIFORNIA AVE|41.93141500|-87.69793600
2001 N MILWAUKEE AVE|41.91783520|-87.68845590
2440 W NORTH AVE|41.91062720|-87.68878070
3934 W DIVERSEY AVE|41.93181230|-87.72634210
3320 W FULLERTON AVE|41.92495900|-87.71166700
3110 W ARMITAGE AVE|41.91743050|-87.70504040
2015 E 79TH ST|41.75134800|-87.57532000
7109 S JEFFERY BLVD|41.76563800|-87.57595700
7544 S STONY ISLAND AVE|41.75729850|-87.58629680
5518 W CHICAGO AVE|41.89488240|-87.76391790
1546 N CENTRAL AVE|41.90889180|-87.76614640
3920 W 79TH ST|41.74968930|-87.72103260
1320 E 47TH ST|41.80966930|-87.59421370
315 W CHICAGO AVE|41.89629430|-87.63636770
641 N CLARK ST|41.89366940|-87.63101090
3220 W 111TH ST|41.69181400|-87.70182100
7155 W FOSTER AVE|41.97547680|-87.80658420
912 W BELMONT AVE|41.94018380|-87.65208110
1001 W BELMONT AVE|41.93974290|-87.65445910
2817 N CLARK ST|41.93350320|-87.64533280
1649 W BELMONT AVE|41.93948260|-87.67045350
3046 N HALSTED ST|41.93775460|-87.64994100
3245 N HALSTED ST|41.94127510|-87.64912350
3201 N BROADWAY ST|41.94034600|-87.64376300
2835 N SHEFFIELD ST|41.93384420|-87.65369780
1333 W BELMONT AVE|41.93965280|-87.66236820
6140 N WESTERN AVE|41.99356000|-87.69011800
3019 W PETERSON AVE|41.99018790|-87.70531520
5625 N RIDGE AVE|41.98431100|-87.66036100
6121 N. BROADWAY|41.99279310|-87.66035160
111 S HALSTED ST|41.87980730|-87.64686490
6460 W FULLERTON AVE|41.92404200|-87.78812800
