name|x|y
Addison (Brown Line)|41.947028|-87.674642
Armitage (Brown & Purple Lines)|41.918217|-87.652644
Chicago (Brown & Purple Lines)|41.89681|-87.635924
Damen (Brown Line)|41.966286|-87.678639
Diversey (Brown & Purple Lines)|41.932732|-87.653131
Francisco (Brown Line)|41.966046|-87.701644
Fullerton (Red, Brown & Purple Lines)|41.925051|-87.652866
Irving Park (Brown Line)|41.954521|-87.674868
Kedzie (Brown Line)|41.965996|-87.708821
Kimball (Brown Line)|41.967901|-87.713065
Merchandise Mart (Brown & Purple Lines)|41.888969|-87.633924
Montrose (Brown Line)|41.961756|-87.675047
Paulina (Brown Line)|41.943623|-87.670907
Rockwell (Brown Line)|41.966115|-87.6941
Sedgwick (Brown & Purple Lines)|41.910409|-87.639302
Southport (Brown Line)|41.943744|-87.663619
Wellington (Brown & Purple Lines)|41.936033|-87.653266
Western (Brown Line)|41.966163|-87.688502
