name|x|y
35th-Bronzeville-IIT (Green Line)|41.831677|-87.625826
43rd (Green Line)|41.816462|-87.619021
47th (Green Line)|41.809209|-87.618826
51st (Green Line)|41.80209|-87.618487
Adams/Wabash (Brown, Green, Orange, Pink & Purple Lines)|41.879507|-87.626037
Ashland (Green & Pink Lines)|41.885269|-87.666969
Ashland/63rd (Green Line)|41.77886|-87.663766
Austin (Green Line)|41.887293|-87.774135
California (Green Line)|41.88422|-87.696234
Central (Green Line)|41.887389|-87.76565
Cicero (Green Line)|41.886519|-87.744698
Clinton (Green & Pink Lines)|41.885678|-87.641782
Conservatory (Green Line)|41.884904|-87.716523
Cottage Grove (Green Line)|41.780309|-87.605857
Garfield (Green Line)|41.795172|-87.618327
Halsted (Green Line)|41.778943|-87.644244
Harlem/Lake (Green Line)|41.886848|-87.803176
Indiana (Green Line)|41.821732|-87.621371
Kedzie (Green Line)|41.884321|-87.706155
King Drive (Green Line)|41.78013|-87.615546
Laramie (Green Line)|41.887163|-87.754986
Madison/Wabash (Brown, Green, Orange, Pink & Purple Lines)|41.882023|-87.626098
Morgan (Green & Pink Lines)|41.885586|-87.652193
Oak Park (Green Line)|41.886988|-87.793783
Pulaski (Green Line)|41.885412|-87.725404
Randolph/Wabash (Brown, Green, Orange, Pink & Purple Lines)|41.884431|-87.626149
Ridgeland (Green Line)|41.887159|-87.783661
State/Lake (Brown, Green, Orange, Pink & Purple Lines)|41.88574|-87.627835
