name|x|y
18th (Pink Line)|41.857908|-87.669147
54th/Cermak (Pink Line)|41.85177331|-87.75669201
Adams/Wabash (Brown, Green, Orange, Pink & Purple Lines)|41.879507|-87.626037
Ashland (Green & Pink Lines)|41.885269|-87.666969
California (Pink Line)|41.854109|-87.694774
Central Park (Pink Line)|41.853839|-87.714842
Cicero (Pink Line)|41.85182|-87.745336
Clinton (Green & Pink Lines)|41.885678|-87.641782
Damen (Pink Line)|41.854517|-87.675975
Harold Washington Library-State/Van Buren (Brown, Orange, Purple & Pink Lines)|41.876862|-87.628196
Kedzie (Pink Line)|41.853964|-87.705408
Kostner (Pink Line)|41.853751|-87.733258
LaSalle/Van Buren (Brown, Orange, Purple & Pink Lines)|41.8768|-87.631739
Madison/Wabash (Brown, Green, Orange, Pink & Purple Lines)|41.882023|-87.626098
Morgan (Green & Pink Lines)|41.885586|-87.652193
Polk (Pink Line)|41.871551|-87.66953
Pulaski (Pink Line)|41.853732|-87.724311
Quincy/Wells (Brown, Orange, Purple & Pink Lines)|41.878723|-87.63374
Randolph/Wabash (Brown, Green, Orange, Pink & Purple Lines)|41.884431|-87.626149
State/Lake (Brown, Green, Orange, Pink & Purple Lines)|41.88574|-87.627835
Washington/Wells (Brown, Orange, Purple & Pink Lines)|41.882695|-87.63378
Western (Pink Line)|41.854225|-87.685129
