name|x|y
Adams/Wabash (Brown, Green, Orange, Pink & Purple Lines)|41.879507|-87.626037
Armitage (Brown & Purple Lines)|41.918217|-87.652644
Central (Purple Line)|42.063987|-87.685617
Chicago (Brown & Purple Lines)|41.89681|-87.635924
Davis (Purple Line)|42.04771|-87.683543
Dempster (Purple Line)|42.041655|-87.681602
Diversey (Brown & Purple Lines)|41.932732|-87.653131
Foster (Purple Line)|42.05416|-87.68356
Fullerton (Red, Brown & Purple Lines)|41.925051|-87.652866
Harold Washington Library-State/Van Buren (Brown, Orange, Purple & Pink Lines)|41.876862|-87.628196
LaSalle/Van Buren (Brown, Orange, Purple & Pink Lines)|41.8768|-87.631739
Linden (Purple Line)|42.073153|-87.69073
Madison/Wabash (Brown, Green, Orange, Pink & Purple Lines)|41.882023|-87.626098
Main (Purple Line)|42.033456|-87.679538
Merchandise Mart (Brown & Purple Lines)|41.888969|-87.633924
Noyes (Purple Line)|42.058282|-87.683337
Quincy/Wells (Brown, Orange, Purple & Pink Lines)|41.878723|-87.63374
Randolph/Wabash (Brown, Green, Orange, Pink & Purple Lines)|41.884431|-87.626149
Sedgwick (Brown & Purple Lines)|41.910409|-87.639302
South Boulevard (Purple Line)|42.027612|-87.678329
State/Lake (Brown, Green, Orange, Pink & Purple Lines)|41.88574|-87.627835
Washington/Wells (Brown, Orange, Purple & Pink Lines)|41.882695|-87.63378
Wellington (Brown & Purple Lines)|41.936033|-87.653266
