name|x|y
6030 N AVONDALE AVE|41.99120656|-87.79879483
1724 W 95TH ST|41.72124684|-87.66576329
12701 S DOTY AVE|41.66260011|-87.59059747
419 S WELLS ST|41.87604804|-87.63333692
1129 W CHICAGO AVE|41.89597702|-87.65622467
4401 S ASHLAND AVE|41.81404219|-87.66497198
7101 S PARNELL AVE|41.76525963|-87.63830544
8630 S EMERALD AVE|41.73693577|-87.64245533
4034 W 47TH ST|41.80790024|-87.72485128
330 W 104TH ST|41.70524395|-87.63243319
3918 N HARLEM AVE|41.95114251|-87.80721934
605 W ARMITAGE AVE|41.91792048|-87.64396691
3042 S KEDVALE AVE|41.8373862|-87.72806084
202 E CHICAGO AVE|41.8970652|-87.62259902
10 N LEAVITT ST|41.88151592|-87.68185535
324 S DESPLAINES ST|41.8770283|-87.64430865
412 N KEDZIE AVE|41.88879144|-87.70657771
439 N WALLER AVE|41.8883243|-87.76761634
25 S LAFLIN ST|41.88071552|-87.66412072
212 W CERMAK RD|41.85313332|-87.63235666
1200 W WILSON AVE|41.9656385|-87.65997484
7313 S KINGSTON AVE|41.76239663|-87.56393562
6030 N CLARK ST|41.99185706|-87.67023382
5200 W 63RD ST|41.77750933|-87.75197549
7659 S PULASKI RD|41.75300609|-87.72192155
2718 N HALSTED ST|41.93179744|-87.64899362
1440 E 67TH ST|41.77330654|-87.590202
2323 N NATCHEZ AVE|41.92208525|-87.78775414
13359 S BURLEY AVE|41.65259115|-87.54470438
259 N COLUMBUS DR|41.88646361|-87.62061359
432 E MARQUETTE RD|41.77300015|-87.61417552
2215 W 51ST ST|41.80117048|-87.67986219
1101 S CALIFORNIA AVE|41.86810703|-87.69562397
3027 E 93RD ST|41.72641224|-87.55007769
1244 N WESTERN AVE|41.90382754|-87.68713246
7340 N CLARK ST|42.01464016|-87.67502361
5343 N CUMBERLAND AVE|41.97685625|-87.83649589
3801 N DAMEN AVE|41.95075472|-87.67830302
11940 S PEORIA ST|41.67676752|-87.64436386
6424 N LEHIGH AVE|41.9979748|-87.76616159
2534 S THROOP ST|41.84557901|-87.65633259
8120 S ASHLAND AVE|41.74630461|-87.66346153
4625 N MILWAUKEE AVE|41.96465042|-87.75785762
55 W ILLINOIS ST|41.89080151|-87.63009284
4005 S DEARBORN ST|41.82190094|-87.62749769
4017 N TRIPP AVE|41.95378625|-87.73392868
2214 W BARRY AVE|41.93769629|-87.68576577
2240 W 69TH ST|41.76839408|-87.67985164
3945 W PETERSON AVE|41.99005666|-87.7256803
3949 W 16TH ST|41.85850227|-87.72427637
5955 S ASHLAND AVE|41.78569137|-87.66426234
2358 S WHIPPLE ST|41.84833993|-87.7018113
3002 W 42ND ST|41.81729744|-87.69950401
11641 S AVENUE O|41.68384839|-87.54002106
1747 N PULASKI RD|41.91261822|-87.72638113
11958 S STATE ST|41.67673027|-87.6226594
2322 W FOSTER AVE|41.97593935|-87.6875836
34 E 114TH ST|41.68740625|-87.62413686
4900 W CHICAGO AVE|41.89503661|-87.74827707
1915 S DAMEN AVE|41.85561896|-87.67592086
4600 S COTTAGE GROVE AVE|41.81134321|-87.60662557
7974 S SOUTH CHICAGO AVE|41.74982796|-87.58341163
6239 N CALIFORNIA AVE|41.99514651|-87.69953001
3421 S CALUMET AVE|41.83227804|-87.61779664
5559 S NARRAGANSETT AVE|41.79123564|-87.78169289
101 E 79TH ST|41.75098316|-87.62135205
1901 N DAMEN AVE|41.91622975|-87.67720585
3401 N ELSTON AVE|41.94306552|-87.70321424
548 W DIVISION ST|41.90398998|-87.6429147
1125 N ASHLAND AVE|41.90220932|-87.66707949
10458 S HOXIE AVE|41.70533432|-87.56088525
1052 W WAVELAND AVE|41.94920789|-87.65640453
5212 W HARRISON ST|41.87298266|-87.75506878
4911 W BELMONT AVE|41.9387855|-87.74963765
21 W 59TH ST|41.78689825|-87.62642114
10615 S EWING AVE|41.7021876|-87.53522906
3637 W 59TH ST|41.78570215|-87.71468959
11035 S HOMEWOOD AVE|41.69320578|-87.66882538
5000 S UNION AVE|41.80344788|-87.64299386
5258 W GRAND AVE|41.91725086|-87.75747321
3112 W 111TH ST|41.69161117|-87.69891865
4426 N KEDZIE AVE|41.96169067|-87.70829306
2827 N PULASKI RD|41.93223676|-87.72695711
2179 N STAVE ST|41.92093321|-87.69644235
4003 W WEST END AVE|41.88334383|-87.72576411
5758 W GRACE ST|41.94944831|-87.77069386
817 E 91ST ST|41.72933328|-87.6042573
1360 N BLUE ISLAND AVE|41.86450398|-87.65556796
3509 S LOWE AVE|41.83078517|-87.64213229
1618 W 33RD PL|41.83346515|-87.66635103
1150 E 55TH ST|41.79515198|-87.59751893
8026 S KEDZIE AVE|41.74747486|-87.70238006
