name|x|y
18th (Pink Line)|41.857908|-87.669147
35th/Archer (Orange Line)|41.829353|-87.680622
35th-Bronzeville-IIT (Green Line)|41.831677|-87.625826
43rd (Green Line)|41.816462|-87.619021
47th (Green Line)|41.809209|-87.618826
47th (Red Line)|41.810318|-87.63094
51st (Green Line)|41.80209|-87.618487
54th/Cermak (Pink Line)|41.85177331|-87.75669201
63rd (Red Line)|41.780536|-87.630952
69th (Red Line)|41.768367|-87.625724
79th (Red Line)|41.750419|-87.625112
87th (Red Line)|41.735372|-87.624717
95th/Dan Ryan (Red Line)|41.722377|-87.624342
95th/Ran Ryan (Red Line)|41.722377|-87.624342
Adams/Wabash (Brown, Green, Orange, Pink & Purple Lines)|41.879507|-87.626037
Addison (Blue Line)|41.94738|-87.71906
Addison (Brown Line)|41.947028|-87.674642
Addison (Red Line)|41.947428|-87.653626
Argyle (Red Line)|41.973453|-87.65853
Armitage (Brown & Purple Lines)|41.918217|-87.652644
Ashland (Orange Line)|41.839234|-87.665317
Ashland (Green & Pink Lines)|41.885269|-87.666969
Ashland/63rd (Green Line)|41.77886|-87.663766
Austin (Green Line)|41.887293|-87.774135
Austin (Blue Line)|41.870851|-87.776812
Belmont (Red, Brown & Purple Lines)|41.939751|-87.65338
Belmont (Blue Line)|41.938132|-87.712359
Berwyn (Red Line)|41.977984|-87.658668
Bryn Mawr (Red Line)|41.983504|-87.65884
California  (Blue Line)|41.921939|-87.69689
California (Green Line)|41.88422|-87.696234
California (Blue Line)|41.921939|-87.69689
California (Pink Line)|41.854109|-87.694774
Central (Green Line)|41.887389|-87.76565
Central (Purple Line)|42.063987|-87.685617
Central Park (Pink Line)|41.853839|-87.714842
Cermak-Chinatown (Red Line)|41.853206|-87.630968
Chicago (Red Line)|41.896671|-87.628176
Chicago (Blue Line)|41.896075|-87.655214
Chicago (Brown & Purple Lines)|41.89681|-87.635924
Cicero (Pink Line)|41.85182|-87.745336
Cicero (Green Line)|41.886519|-87.744698
Cicero (Blue Line)|41.871574|-87.745154
Clark/Division (Red Line)|41.90392|-87.631412
Clark/Lake (Blue, Brown, Green, Orange, Purple & Pink Lines)|41.885737|-87.630886
