name|x|y
Stony Island|41.76601|-87.58685
Bryn Mawr|41.766115|-87.576997
South Shore|41.765243|-87.565714
Windsor Park|41.758508|-87.559629
Cheltenham (79th Street)|41.752321|-87.552852
83rd Street|41.745013|-87.551556
87th Street|41.737748|-87.548168
91st Street (South Chicago)|41.727437|-87.547785
Hegewisch|41.648272|-87.546236
State Street|41.674434|-87.621606
Stewart Ridge|41.674323|-87.631611
West Pullman|41.674215|-87.642247
Racine Avenue|41.674114|-87.652157
Ashland Avenue|41.669434|-87.660623
Burr Oak|41.662326|-87.668787
Blue Island|41.655696|-87.676126
Millenium Station|41.884366|-87.623087
Van Buren Street|41.876998|-87.622812
Museum Campus/11th St|41.868392|-87.62142
18th Street|41.857731|-87.618034
McCormick Place|41.850942|-87.616142
27th Street|41.844263|-87.613436
47th Street (Kenwood)|41.809525|-87.59085
53rd Street (Hyde Park)|41.799917|-87.586787
55th-56th-57th Street|41.792842|-87.587498
59th Street (University of Chicago)|41.787003|-87.588766
63rd Street|41.779883|-87.590404
75th Street (Grand Crossing)|41.758912|-87.595159
79th Street (Chatham)|41.750827|-87.596987
83rd Street (Avalon Park)|41.744317|-87.598333
87th Street (Woodruff)|41.737415|-87.599952
91st Street (Chesterfield)|41.729752|-87.601754
95th Street (Chicago State University)|41.721417|-87.603675
103rd Street (Rosemoor)|41.706967|-87.607007
107th Street|41.69984|-87.608658
111th Street|41.693097|-87.610215
Kensington (115th Street)|41.68603|-87.611834
Riverdale|41.646329|-87.623295
Ivanhoe|41.633745|-87.630069
147th Street (Sibley Boulevard)|41.623006|-87.63594
Harvey|41.608927|-87.643535
Hazel Crest|41.580838|-87.658505
Calumet|41.572739|-87.66283
Homewood|41.562373|-87.668355
Flossmoor|41.543301|-87.67852
Olympia Fields|41.521043|-87.690411
211th Street (Lincoln Highway)|41.506438|-87.698116
Matteson|41.498677|-87.701911
Richton Park|41.485592|-87.708984
University Park|41.458961|-87.723319
LaSalle Street|41.875048|-87.632137
Gresham|41.736643|-87.644613
Longwood (95th Street)|41.720709|-87.650555
Washington Heights|41.705583|-87.656107
Blue Island (Vermont Street)|41.654859|-87.677847
Robbins|41.640772|-87.694556
Midlothian|41.625981|-87.712407
Oak Forest|41.604636|-87.738189
Tinley Park|41.575611|-87.783577
80th Avenue (Tinley Park)|41.564381|-87.80954
