name|x|y
35th/Archer (Orange Line)|41.829353|-87.680622
Adams/Wabash (Brown, Green, Orange, Pink & Purple Lines)|41.879507|-87.626037
Ashland (Orange Line)|41.839234|-87.665317
Halsted (Orange Line)|41.84678|-87.648088
Harold Washington Library-State/Van Buren (Brown, Orange, Purple & Pink Lines)|41.876862|-87.628196
Kedzie (Orange Line)|41.804236|-87.704406
LaSalle/Van Buren (Brown, Orange, Purple & Pink Lines)|41.8768|-87.631739
Madison/Wabash (Brown, Green, Orange, Pink & Purple Lines)|41.882023|-87.626098
Midway (Orange Line)|41.78661|-87.737875
Pulaski (Orange Line)|41.799756|-87.724493
Quincy/Wells (Brown, Orange, Purple & Pink Lines)|41.878723|-87.63374
Randolph/Wabash (Brown, Green, Orange, Pink & Purple Lines)|41.884431|-87.626149
State/Lake (Brown, Green, Orange, Pink & Purple Lines)|41.88574|-87.627835
Washington/Wells (Brown, Orange, Purple & Pink Lines)|41.882695|-87.63378
Western (Orange Line)|41.804546|-87.684019
